0,9.04,3.886,3.55,3.89,6.74,2.263,2.04,5.19,3.63,4.66,8.59,3,11.3,5.67,0.815,7.22,10.77,7.448,1.149,15,3.7,5.19,3.04,5.07,6.07,11.82,4.67,6.56,3.705,1.63,12.74,2.67
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13.81,13.02,21.82,14.04,10.98,14.45,24.8,12.64,6.62,14.96,18.62,20.66,15,8.42,9.02,8.17,8.17,20.69,17.21,13.36,17.64,15.11,10.06,19.03,29.3,10.51,14,7.66,17.38,17.19,17,9.51
3,15.23,9.46,15.67,6.14,8.94,5.33,12.93,13.06,3.53,6.53,16.37,7.8,5.34,2.533,4.86,6.67,8.4,6.53,2.33,10.33,3.937,8.67,4.33,5.07,6.33,18.6,11.4,6,9.27,7.27,14.8,2.53
4,16.73,9.45,19.5,12.64,14.46,21.22,22.44,18.06,12.18,9.18,19.88,14.46,15.72,10.46,10.1,6.82,12.37,14.18,19.18,23.8,9,17.4,14,23.6,15.64,7.73,12.09,16.91,16.08,21.68,18,11.36
5,25.3,10.52,23,20.82,10.76,19.8,10.76,11.92,18.98,2.64,6.64,12.24,14.08,18.72,12.08,6.4,7.72,17.04,24.1,9.08,4.84,4.12,3.76,14.72,16.84,8.56,9.28,11.92,16.54,19.54,13.16,8.48
6,2.157,0.513,0,1.26,2.75,0.538,2.44,1.54,2.11,0,2.15,1.333,0.641,2.107,2.305,0.718,0.872,1.436,0.667,0.718,0,0,0,0.5129,1.487,1.1769,0.743,0.846,1.23,0,1.15,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9.58,11.11,4.7,7.69,15.67,6.41,5.92,16.9,6.71,8.83,8.27,7.5,8.27,5.56,2.788,10.15,9.17,3.25,1.351,16.26,3.46,7.17,8.04,6.31,7.37,18.55,2.52,2.103,6.83,4.42,11.61,6.44
9,12.11,4.22,10.33,9.33,5.11,16.78,8,14.11,5.89,4,9.22,13.55,7.67,6.56,8,9.44,10.67,6.78,1.778,12.67,8.55,5,3.22,7.44,9,15.45,8.33,6.89,9,10.55,6.44,3.89
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18.44,13,34.6,16.11,16.05,14.21,17.65,13.47,8.31,12.53,19.78,19.51,9.11,10.11,14.05,11.63,14.73,14.63,14.15,17.84,8.64,11.84,12.05,11.21,19.31,10.48,20.9,10.16,15.31,20.53,13.74,19.22
12,1.081,0.297,17.65,5.34,0.554,0,3.63,3.99,0.284,10.79,4.92,5.86,0,3.36,4.457,4.863,4.88,6.94,0.878,0.608,0.878,4.83,0.906,6.02,17.87,5.63,2.158,0,2.1105,1.432,0.5136,3.0676
13,1.04,0,0,0.533,0,1.04,0.519,1.629,1.282,0.874,1.038,0,1.04,0,1.038,1.729,0,0,1.038,0,2.17,1.04,1.559,0,0,0,0.519,0.5486,0.519,0.519,0.519,1.907
14,0,1.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0.802,0,0,0.778,0,0,0,0,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.084,2.095,0.856,5.16,0.361,3.13,4.78,2.6,11.3,6.29,1.239,0.786,3.78,2.84,1.259,8.75,9.16,14.8,4.12,2.603,8.82,10.96,5.44,0.602,1.796,1.843,1.293,0,12.51,3.53,6.46,9.14
18,18.21,11.5,5.06,9.75,5.97,6.22,6.45,6.415,1.798,4.03,4.75,12.76,9.43,2.301,5.6,5.43,8.27,0.349,10.7,3.68,11.02,4.49,4.83,14.03,2.129,1.317,15.17,10.69,3.6,7.62,13.48,6.52
19,2.016,0.667,0,0,1.997,3.11,3.177,5.82,5.28,0,0.867,2.919,3.673,0,2,1.12,4.66,2.247,2.242,2.159,0.667,0,1.334,0.543,0.333,0.762,0,5.51,0,1.978,4.67,0
20,14.22,9.97,14.85,13.26,9.73,10.29,14.03,9.01,6.2,12.08,10.93,13.24,11.06,10.6,13.78,8.03,9.83,10.83,11.95,14.3,8.56,8.62,6.97,13.87,13.8,7.87,13.77,6.55,13.75,13.01,11.29,11.25
21,12.75,16.03,29.3,15.07,15.31,12.78,23.5,15.68,11.44,17.08,18.68,20.08,21.18,11.78,11.22,7.32,14.29,12.07,17.35,13.27,15.83,16.05,16.81,18.22,20.92,8.36,15.43,5.14,17.69,9.98,13.51,15.85
22,0.537,1.621,1.96,5,0.528,2.73,7.86,1.886,14.43,8.7,0.492,1.228,4.02,3.31,1.793,8.79,8.45,19.36,7.33,1.427,9.65,9.13,5.72,0.727,2.25,1.662,3.28,0,15.99,4.58,8.62,9.81
23,0,1.17,6.01,0.878,5.62,0.8558,0.3116,1.841,0.866,3.633,0.389,3.31,0.878,0,4.9,0.378,1.345,1.78,1.12,1.934,0,1.754,2.72,0.878,0,1.814,0.467,3.62,2.81,1.11,0,0.6
24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0.92,0,0,0,0.48,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7.42,3.43,1.122,1.28,4.45,7.51,7.5,6.34,10.1,0.565,3.93,8.41,4.79,3.35,9.68,4.87,8.02,5.03,7.14,4.93,4.8,0.146,1.601,3.35,0,5.74,0.773,8.43,1.752,4.32,7.24,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753,0,0,0,0,0,0,0,0,0,0,0,0,0.864
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.37,0,0,0,0,0,0,0,0,0,0.704,0,0,0,0,0,0,0,0.864,0,0,0,0,0,0,0,0,0,0,0,0
30,1.784,3.218,2.331,1.063,0,0.25,3.16,1.294,1.049,0.472,0.111,5.32,0.431,4.58,4.73,0,0.139,0.486,1.361,0.9863,2.026,0.458,0.5207,2.562,0.778,1.772,0.486,1.294,0.174,1.32,0.66,1.493
31,0.4447,3.14,2.77,8.31,14.08,0.555,3.4,5.01,8.22,1.601,7.64,0.958,0.5359,15.84,6.99,4.52,2.4,3.72,6.24,4.27,1.744,2.54,0.24,4.72,9.94,9.3,11.74,0.454,1.003,9.1,0.659,1.494
32,0.648,0.648,1.3,2.143,0.491,1.948,3.96,1.111,8.45,2.188,0.981,0,0,0.944,0.648,3.16,5.08,6.62,0.741,0.648,4.22,0.843,0,0,0.648,0,0,0,5.46,1.296,3.24,4.55
33,0,0,1.33,0,0,1.386,0.693,0,2.883,1.39,0,0.693,0.693,5.87,0,4.16,0.158,0.693,0,2.723,0,1.71,2.95,5.12,2.773,0.307,2.78,2.357,0.366,0.693,0,0.158
34,8.78,7.22,4.78,4,3,2,14.4,8.78,2,4.222,2,8,1,5.44,7.33,2.22,5,0,1,10.89,3.56,3.55,1,1.22,4.67,8,4,3.44,2.44,6.44,2.11,2
35,4.5,0.333,3.91,2,1.75,4.33,3.08,3.92,3,1.833,2.83,2,0,0,0,0.25,1,0,0,1.08,2,1.25,2,2,6.25,1,1,0,1.167,1,2.667,3
36,1.517,1.35,2.96,3.31,1.35,3.95,1.348,3.34,0.652,2.13,1.786,3.263,4.74,1,3.6,0.609,2.482,1.6535,1.35,0.695,3.917,0,0.0435000000000001,1.479,1.17,5,1.043,0.348,0.435,0.87,1.217,1.48
37,20.38,10.55,24.6,14.66,13.26,12.12,18.75,13.8,7.63,11.94,17,17.57,8.76,8.43,14.56,11.85,13.59,14.45,16.44,22.5,12.03,13.37,12.1,15.64,15.87,11.06,20.8,12.16,13.43,11.73,14.14,13.87
38,19.18,14.3,23.3,14.05,15.73,12.88,17.42,14.28,14.18,24.6,18.17,26,18.8,17.38,11.97,7.14,15.17,17.08,15.25,20.38,19.92,13.92,12.91,17.01,19.47,5.775,17.95,11.78,15.95,11,12.65,15.95
39,9.93,3.292,3.95,2.76,3.35,2.36,7.62,6.22,1.031,1.738,2.305,7.08,0.47,2.488,6,1.48,1.045,0,0.4242,3.004,3.77,2.211,1.996,2.092,6.06,4.73,1.363,2.125,1.42,3.33,2.54,3.18
40,0.494,0.486,4.77,0.533,5.49,0.324,1.162,2.71,1.204,3.79,0.859,2.97,2.341,0.366,5.69,0.893,2.095,1.152,3.25,2.87,3.39,4.2,4.72,1.094,0.974,3.92,0.23,4.06,0,1.533,0,2.2
41,0,0.462,0,0,0,0,0,0,0,0,0.538,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0.628,0,0,0,0,0
42,0.899,2.41,3.34,0.591,1.141,0.591,1.94,0.386,4.86,7.36,2.86,2.029,3.93,13,0.277,12.39,1.607,0.313,0.1876,2.25,0.937,4.11,8.97,10.5,5.71,2.08,8.75,5.34,1.816,1.706,0.966,4.52
43,0,0.9483,0.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872,0,0.154,0,0,0.897,0.859,0,0,0.0769,0.885,0,0,0,0
44,0,0,1.575,0,0,0,0,0.782,0,1.61,0,0,0,0,0,0,0,0,0.805,0,0,1.61,0,0,0,0.805,0,2.15,0,0,0,0.805
45,15.84,9.76,17.1,19.18,12.44,15.7,13.76,9.23,14.8,3.83,10.39,8.76,15.59,11.66,10.79,8.49,10.79,10.21,17.36,7.8,10.28,6.88,3.95,17.4,18.77,13.17,11.67,9.66,16.29,22.74,16.96,8.6
46,0,0,0,1,0,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,8.43,5.38,0.325,5.93,8.96,5.55,6.39,10.74,5.91,2.542,5.06,8.56,6.33,10.53,11.82,5.92,4.27,3.93,10.48,9.24,4.3,1.109,3.39,8.95,1.979,6.65,6.63,4.63,3.63,4.5,3.81,1.18
48,3.24,0.391,4.63,0,0.827,3.635,2.047,4.34,3.68,1.1845,2.94,2.255,0,0,0,2.036,0.632,0.0575000000000001,0,2.211,0.609,2.668,0.379,1.72,4.186,0.678,0.333,0.161,2.237,1.56,1.928,3.72
49,1,0,0,0,0,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0
50,0.916,0,0.4688,1.201,1.491,1.297,1.498,2.72,0.957,4.14,3.03,0.65,0.2158,0.2599,1.929,3.31,0,2.52,1.864,1.058,4.17,0.502,5.13,0.524,0,0.527,0.757,2.25,1.375,0.0937999999999999,1.263,3.89
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864,0,0,0,0.679,0.556,0,0,0,0.136,0,0,0,0,0,0,0,0
52,0.343,2.082,4.92,8.91,7.85,1.939,3.245,2.473,5.94,0.868,4.99,0.0294000000000001,0.725,13.25,5.98,2.94,2.006,3.19,4.03,3.9,2.037,1.216,1.348,4.17,6.72,9.99,9.4,0.578,2.35,5.78,1.373,0.7601
53,6.87,5.457,4.12,2.336,7.75,2.77,0.895,5.48,2.458,6.33,13.71,3.52,12.94,4.17,1.58,7.83,14.38,5.48,3.06,6.65,5.14,3.005,3.3,5.65,6.04,11.64,5.9,4.44,5.46,5.25,5.88,2.54
54,7.35,3.85,6.14,2.19,2.83,12.77,3.33,10.14,3.775,2.42,6.58,6.73,1.812,5.42,6.84,5.54,9.31,0.958,0.792,11.48,9.62,1.729,1,10.56,3.58,2.962,4.58,4.5,2.16,7.72,1.313,4.38
55,2.872,1.56,2.718,1.416,2.446,3.64,7.46,7.67,1.653,4.32,1.834,4.55,0.431,3.47,1.68,1.682,4.83,0,0.875,9.06,3.111,3.807,0.736,1.567,7.53,0.972,3.291,2.91,1.991,6.11,1.278,0.347
56,0,0.0611999999999999,0.98,0,1.612,0,0.9594,0.286,2.0612,4.59,1.29,1.713,1.576,2.224,0,7.86,0.551,0,0,1.613,1.082,2.25,1.327,2.617,3.184,0,3.914,3.287,1.796,0.184,0.1424,2.204
57,13.48,5.72,3.31,9.32,13.41,10.36,13.35,20.9,14.03,2.78,10.03,11.98,4.34,14.27,15.41,14.93,10.21,7.44,16.19,14.81,6,1.188,4.42,8.29,9.53,19.63,11.65,10.69,5.62,8.25,10.65,1.328
58,16.74,8.58,16.4,16.32,11.08,18.65,11.51,6.65,15.27,4.29,9.54,8.45,18.08,13.38,10.42,8.59,10.32,6.96,18.8,9.75,9.97,8.92,3.86,12.87,14.96,11.16,14.54,8.93,13.97,16.3,12.85,7.03
59,2,0,1.526,2,0,0,0.789,2.21,1,1,0,1,4.1,1.895,0.263,3,0,0,0,0,0,1.68,2.63,1,2,0.579,0.842,0,1.316,1,2.68,0
60,7.74,3.5,8.32,10.08,2.98,8.57,3.94,5.15,7.8,0.255,3.87,2.622,8.01,7,5.35,3.77,4.24,1.94,8.89,1.978,3.24,4.62,2.49,6.03,9.35,7.91,3.99,4.03,8.95,10.55,7.01,2.48
61,0.429,0,0,0,0,1,0,0,0.429,0.571,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0.643,0.286,1.856,0.571
62,0,0.148,3.6441,0,1.06,0,0,0.605,3.26,0.506,0.2838,1.773,2.159,0,3.21,0,3.058,1.197,0,2.855,4.08,6.011,1.659,0,0.346,1,0,4.12,0,1.395,0,4.42
63,16.34,11.83,29.6,14.75,12.83,10.83,20.15,10.5,11.08,17.5,12.92,24.12,15.42,13.25,10.33,7.92,14.33,16.5,20.68,16.92,20.97,13.42,12.92,17.16,27.98,10.5,13.25,12.41,16.45,14.75,10.66,6.08
64,0,1.228,0.614,3.29,4.41,0.0350999999999999,0.614,4.294,2.474,0,2.784,0.0876999999999999,0.316,4.31,4.3,1.228,0.614,3.074,1.254,0.667,0.614,0.614,0.404,0.211,4.91,3.07,4.85,0,1.23,4.824,0,2.454
65,10.93,3.92,12.9,18.28,6.96,12.38,7.31,6.52,12.26,3.485,8.09,5.27,9.1,10,10.64,4.82,6.43,5.54,17.59,6.66,7.64,5.42,5.067,10.72,10.06,6.36,6.73,8.39,18.24,9.66,8.93,8.94
66,12.4,15.25,21.2,12.55,14.3,17.75,25.9,14.2,8.7,9.85,20.6,16.2,18.6,8.3,11.65,5.9,14.45,15.35,17.55,16.6,10.2,17.35,14.55,21.6,15.8,7.5,13,9.85,18.1,17.6,14.8,12.85
67,18,9,16.52,10.75,15.89,15.89,17.03,17.31,13.46,14.5,17.25,22.98,14.5,12.89,11.89,8.57,15.89,12.79,13.21,18.29,9.68,14.43,13.43,26.2,15.07,7.93,11.9,16.07,18.33,23.74,15.07,15.66
68,0,1.908,0.848,0,0.152,1.152,1,2.52,1,2.359,0,0,0,3.57,0.788,3.88,7.79,0,0.97,6.88,6.18,1,0.212,5.34,2,0,3,2.305,0,2.366,0,0
69,0,0.0725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0,0,0,1,0.971,0
70,17.56,13.59,5.35,13.02,8.62,19.24,15.55,12.52,8.83,9.83,8.22,14.87,9.29,4.31,10.52,4.477,12.55,12.08,17.19,18.31,13.11,10.65,7.98,14.91,6.12,4.11,16.9,10.45,12,9.4,6.39,12.93
71,14.72,7.05,19.71,20.44,11.79,19.28,8.46,9.58,13.37,5.52,9.14,7.47,14.25,12.83,9.21,8.16,10.55,8,20.11,13.74,6.44,4.708,3.782,16.74,20.53,11.65,8.47,9.68,15.03,25.2,16.66,12.55
72,16.04,12.7,11.83,11.8,8.12,16.39,21.78,14.45,6.665,14.69,19.44,20.57,14.31,14.04,12.96,8.34,7.63,23.3,15.78,18.04,14.72,10.85,10.66,18.04,20.59,8.43,15.77,13.02,13.79,19.68,14.14,8.44
73,2.027,0.976,2.854,0,0.0741000000000001,0.951,2.255,5.64,1.43,0.877,1.744,0.457,5.62,0.605,0,1.569,1.074,2.74,0,0,0.173,2.199,4.51,0,2.985,1.37,2.098,0.148,4.564,2.616,5.35,0.605
74,17.44,16.59,32.8,12,14.95,13.3,18.02,15.47,6.3,15.71,17.9,13.76,8.76,9.76,17.65,12.76,13.05,16.14,17.7,21.35,10.71,14.17,8.76,12.47,12.94,11.47,21.29,12.83,13.24,16.06,17.08,15.97
75,9.69,12.76,7.99,6.82,10.56,5.66,9.52,14.94,5.13,8.56,7.7,12.49,8.02,8.3,5.11,8.15,9.97,4.09,4.26,14.96,7.23,7.64,7.81,5.23,10.64,21.11,3.88,4.58,7.48,6.79,8.38,6.58
